timestamp,confidence,alert_triggered,snapshot
2026-06-26 16:39:25,0.822235,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163925.jpg
2026-06-26 16:39:25,0.698215,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163925.jpg
2026-06-26 16:39:26,0.921627,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163926.jpg
2026-06-26 16:39:26,0.664379,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163926.jpg
2026-06-26 16:39:26,0.841657,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163926.jpg
2026-06-26 16:39:27,0.870888,1,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163927.jpg
2026-06-26 16:39:27,0.687021,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163927.jpg
2026-06-26 16:39:27,0.721851,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163927.jpg
2026-06-26 16:39:28,0.572919,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163928.jpg
2026-06-26 16:39:28,0.515501,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163928.jpg
2026-06-26 16:39:28,0.711780,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163928.jpg
2026-06-26 16:39:28,0.835000,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163928.jpg
2026-06-26 16:39:28,0.790212,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163928.jpg
2026-06-26 16:39:29,0.732959,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163929.jpg
2026-06-26 16:39:29,0.664746,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163929.jpg
2026-06-26 16:39:29,0.714140,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163929.jpg
2026-06-26 16:39:29,0.639517,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163929.jpg
2026-06-26 16:39:29,0.936148,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163929.jpg
2026-06-26 16:39:30,0.557289,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163930.jpg
2026-06-26 16:39:30,0.569966,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163930.jpg
2026-06-26 16:39:30,0.809313,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163930.jpg
2026-06-26 16:39:30,0.642850,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163930.jpg
2026-06-26 16:39:30,0.680076,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163930.jpg
2026-06-26 16:39:31,0.788933,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163931.jpg
2026-06-26 16:39:31,0.691572,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163931.jpg
2026-06-26 16:39:31,0.856587,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163931.jpg
2026-06-26 16:39:31,0.813007,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163931.jpg
2026-06-26 16:39:32,0.590260,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163932.jpg
2026-06-26 16:39:32,0.859340,1,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163932.jpg
2026-06-26 16:39:32,0.533216,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163932.jpg
2026-06-26 16:39:32,0.787323,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163932.jpg
2026-06-26 16:39:32,0.917687,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163932.jpg
2026-06-26 16:39:32,0.764500,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163932.jpg
2026-06-26 16:39:33,0.777078,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163933.jpg
2026-06-26 16:39:33,0.573823,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163933.jpg
2026-06-26 16:39:33,0.830636,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163933.jpg
2026-06-26 16:39:33,0.892591,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163933.jpg
2026-06-26 16:39:33,0.841482,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163933.jpg
2026-06-26 16:39:33,0.901339,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163933.jpg
2026-06-26 16:39:34,0.910690,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163934.jpg
2026-06-26 16:39:34,0.504607,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163934.jpg
2026-06-26 16:39:34,0.697010,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163934.jpg
2026-06-26 16:39:34,0.647579,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163934.jpg
2026-06-26 16:39:34,0.599478,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163934.jpg
2026-06-26 16:39:35,0.548934,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163935.jpg
2026-06-26 16:39:35,0.590885,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163935.jpg
2026-06-26 16:39:35,0.608698,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163935.jpg
2026-06-26 16:39:35,0.516620,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163935.jpg
2026-06-26 16:39:36,0.943669,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163936.jpg
2026-06-26 16:39:36,0.805971,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163936.jpg
2026-06-26 16:39:36,0.640816,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163936.jpg
2026-06-26 16:39:37,0.692530,1,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163937.jpg
2026-06-26 16:39:37,0.535838,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163937.jpg
2026-06-26 16:39:37,0.729089,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163937.jpg
2026-06-26 16:39:37,0.526693,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163937.jpg
2026-06-26 16:39:37,0.565934,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163937.jpg
2026-06-26 16:39:38,0.713336,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163938.jpg
2026-06-26 16:39:38,0.722784,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163938.jpg
2026-06-26 16:39:38,0.598206,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163938.jpg
2026-06-26 16:39:39,0.519283,0,D:\projects\FaceMaskDetection\alerts\snapshots\violation_20260626_163939.jpg
